race,short_v
ASIAN - CHINESE,asian
ASIAN,asian
ASIAN - ASIAN INDIAN,asian
ASIAN - SOUTH EAST ASIAN,asian
ASIAN - KOREAN,asian
BLACK/AFRICAN AMERICAN,black
BLACK/AFRICAN,black
BLACK/CARIBBEAN ISLAND,black
BLACK/CAPE VERDEAN,black
UNKNOWN,other
OTHER,other
PATIENT DECLINED TO ANSWER,other
MULTIPLE RACE/ETHNICITY,other
SOUTH AMERICAN,other
WHITE,white
PORTUGUESE,white
WHITE - OTHER EUROPEAN,white
WHITE - RUSSIAN,white
WHITE - BRAZILIAN,white
WHITE - EASTERN EUROPEAN,white
UNABLE TO OBTAIN,unknown
NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,unknown
AMERICAN INDIAN/ALASKA NATIVE,unknown
HISPANIC/LATINO - CUBAN,hispanic
HISPANIC/LATINO - DOMINICAN,hispanic
HISPANIC/LATINO - PUERTO RICAN,hispanic
HISPANIC/LATINO - SALVADORAN,hispanic
HISPANIC OR LATINO,hispanic
HISPANIC/LATINO - HONDURAN,hispanic
HISPANIC/LATINO - MEXICAN,hispanic
HISPANIC/LATINO - GUATEMALAN,hispanic
HISPANIC/LATINO - COLUMBIAN,hispanic
HISPANIC/LATINO - CENTRAL AMERICAN,hispanic